MS,2005-09-14,52.880001,53.209999,52.380001,52.470001,4191200,36.564646
AMTD,2005-09-14,21.90,22.25,21.629999,21.85,3297500,14.490837
MMC,2005-09-14,29.09,29.15,28.719999,28.879999,1723600,21.286064
AON,2005-09-14,32.400002,32.669998,32.02,32.200001,1373900,27.773037
MET,2005-09-14,48.400002,49.07,48.200001,48.889999,2381200,38.117401
PRU,2005-09-14,66.75,67.099998,66.00,66.160004,1144000,50.31199
AFL,2005-09-14,45.00,45.110001,44.689999,44.740002,1307700,34.72708
CB,2005-09-14,46.200001,46.200001,45.220001,45.25,1426900,36.466084
ALL,2005-09-14,53.619999,53.939999,53.209999,53.529999,4051000,40.088791
PGR,2005-09-14,97.629997,97.690002,96.690002,96.93,1858400,16.604948
AIG,2005-09-14,61.28,61.520002,60.600001,60.770002,347700,923.708367
NEM,2005-09-14,42.18,44.049999,42.18,43.939999,10622100,38.011957
NUE,2005-09-14,59.549999,59.779999,58.869999,58.939999,3572600,20.152254
AVY,2005-09-14,54.349998,54.41,53.93,54.009998,336000,38.933622
IP,2005-09-14,31.369998,32.049997,31.240003,31.700004,2385300,21.845641
NKE,2005-09-14,79.279999,79.480003,78.349998,78.489998,18700800,8.487788
NFLX,2005-09-14,24.399999,24.460001,23.57,23.669999,9182600,3.381428
T,2005-09-14,23.790001,23.92,23.60,23.690001,9645000,13.134542
ED,2005-09-14,48.119999,48.470001,48.119999,48.169998,642700,29.056141
FE,2005-09-14,51.900002,52.099998,51.619999,51.919998,715700,31.168133
GE,2005-09-14,34.27,34.419998,34.00,34.049999,16835500,22.868247
UNP,2005-09-14,67.00,67.300003,66.839996,66.959999,2168800,13.613787
UPS,2005-09-14,68.75,68.870003,68.120003,68.300003,2226400,50.315029
