C,46.500001,46.64,46.070002,46.160001,864600,386.66159,-0.7311827799745559
USB,29.35,29.51,28.90,29.049999,4689300,21.078808,-1.0221499148211304
GS,102.169998,103.639999,102.169998,102.709999,2433500,90.261587,0.5285318690130438
MS,52.75,53.189999,52.700001,53.029999,4468900,36.768426,0.5308037914691878
AMTD,18.60,18.799999,18.549999,18.74,2914800,12.428297,0.7526881720429947
MMC,27.549999,27.950001,27.52,27.700001,3153500,20.291045,0.544471889091541
AON,25.030001,25.200001,24.940001,25.17,826300,21.582191,0.559324787881563
MET,45.080002,45.540001,45.00,45.470001,1659900,35.450978,0.865126403499279
PRU,65.860001,66.540001,65.50,66.480003,1449500,50.555337,0.941393851482024
AFL,43.650002,44.009998,43.630001,43.869999,1494100,33.965854,0.5040022678578556
CB,45.00,45.360001,44.93,45.290001,827700,36.49832,0.6444466666666592
ALL,60.009998,60.240002,59.610001,59.849998,2232600,44.575714,-0.26662223851432837
PGR,98.889999,99.529999,97.540001,98.190002,1745600,16.815682,-0.7078541885716837
AIG,58.450001,58.870002,58.359998,58.609998,393300,888.621918,0.2737331005349291
NEM,38.950001,39.25,37.990002,38.93,4032400,33.595587,-0.051350447975599796
NUE,46.25,47.00,45.740002,46.419998,3612200,15.871524,0.36756324324324247
AVY,53.150002,53.419998,52.48,52.779999,382000,37.775864,-0.6961486097404175
IP,30.470003,30.689999,30.229999,30.339998,1975200,20.741089,-0.42666553068602275
NKE,86.169998,86.599998,85.300003,86.010002,11341600,9.2859,-0.1856748331362462
NFLX,16.40,16.68,16.35,16.55,2040500,2.364286,0.9146341463414766
T,23.879999,24.129999,23.83,23.93,10974500,13.089787,0.20938443087873737
ED,46.799999,47.139999,46.66,47.080002,847200,28.057872,0.5982970213311344
FE,48.360001,48.849998,48.349998,48.709999,840100,28.9979,0.72373447634959
GE,34.849998,34.939999,34.66,34.740002,20273000,23.331658,-0.31562699085377977
UNP,64.980003,65.339996,64.800003,65.019997,3414800,13.160911,0.06154816582573441
UPS,69.449997,69.989998,69.019997,69.209999,1607400,50.752722,-0.3455694893694523
