DOW,45.139999,45.240002,43.959999,44.18,12123300,41.493097,-2.126714712598915
MMM,163.00,163.639999,160.080002,160.360001,3692900,153.145069,-1.6196312883435513
MRK,58.209999,58.48,57.57,58.040001,15961200,54.826376,-0.2920426093805752
MSFT,46.369999,46.73,46.25,46.330002,39673900,44.194149,-0.08625620198956575
PFE,31.35,31.41,31.01,31.16,23516500,29.344105,-0.6060606060606102
TRV,105.110001,105.239998,103.870003,104.169998,1728700,100.088725,-0.8943040539025303
UNH,100.300003,100.449997,98.75,99.120003,4679000,96.242334,-1.17647055304675
UTX,114.550003,115.459999,112.839996,113.120003,4765300,108.260686,-1.2483631274981344
V,263.48999,263.50,258.869995,259.170013,12751200,63.989464,-1.6395222452283653
VZ,47.080002,47.16,46.560001,46.57,18964500,42.488972,-1.083266733930895
DIS,93.279999,93.349998,91.779999,92.379997,7789400,90.602665,-0.964839204168517
AAL,54.369999,54.540001,53.34,53.880001,11565000,52.830101,-0.9012286352994047
DAL,49.459999,49.48,47.810001,48.360001,10556500,47.331609,-2.224015410918238
LUV,42.830002,42.900002,41.450001,41.639999,7877700,41.075066,-2.778433211373647
UAL,66.870003,67.349998,65.50,66.150002,5033400,66.150002,-1.0767174632846905
ATVI,20.139999,20.18,19.780001,19.85,5008400,19.490271,-1.4399156623592588
AAPL,108.290001,108.650002,105.410004,106.25,64285500,102.196226,-1.8838313613091608
CSCO,27.32,27.450001,27.00,27.059999,29460600,25.54799,-0.9516874084919438
GOOGL,527.150024,527.98999,517.75,519.460022,2059100,519.460022,-1.4587881342864264
FB,77.980003,79.25,76.860001,77.190002,26452200,77.190002,-1.0130815203995178
TWTR,36.259998,37.110001,35.639999,36.380001,15062700,36.380001,0.3309514799200953
MSFT,46.369999,46.73,46.25,46.330002,39673900,44.194149,-0.08625620198956575
IBM,161.270004,161.270004,159.190002,159.509995,4880400,150.145794,-1.0913430621605222
ORCL,44.16,44.25,43.580002,43.59,18369400,42.447366,-1.290760869565202
AMZN,307.01001,308.380005,300.850006,302.190002,2774200,302.190002,-1.569983988469962
LMT,192.899994,194.50,188.600006,189.289993,1506200,179.870971,-1.8714365538030981
BOE,13.05,13.16,12.94,12.95,432900,10.998257,-0.7662835249042255
NOC,145.449997,146.470001,142.449997,143.369995,5765000,138.996784,-1.4300460934351258
GD,137.960007,138.630005,135.380005,135.559998,1437100,130.097873,-1.7396411120796647
HON,99.900002,99.900002,98.00,98.32,3155700,94.794092,-1.5815835519202566
MPEL,24.129999,24.16,23.65,23.76,3188800,22.613652,-1.5333568807856144
LVS,55.700001,55.700001,54.50,54.759998,5180900,49.790823,-1.6876175639565918
MGM,20.82,20.940001,20.33,20.440001,9182100,20.440001,-1.8251633045148967
WYNN,145.720001,146.169998,141.839996,144.389999,1695100,138.35668,-0.9127106717491771
MAR,77.639999,77.739998,75.32,75.620003,2034800,73.761867,-2.6017465559215243
CCL,46.18,46.200001,45.299999,45.389999,4301500,43.45311,-1.7106994369857007
HLT,25.75,25.85,25.00,25.10,4334100,24.724092,-2.5242718446601886
RCL,82.970001,83.489998,80.879997,81.709999,1847700,79.099579,-1.5186235805878805
CUK,45.93,45.959999,45.200001,45.25,562800,43.379735,-1.4805138253864571
H,59.080002,59.099998,57.689999,58.16,453900,58.16,-1.5572138944748237
MCD,93.300003,93.68,92.220001,92.230003,6211900,87.163521,-1.1468381196086428
SBUX,80.139999,80.669998,79.489998,79.879997,11623800,39.030387,-0.3244347432547386
YUM,72.410003,72.72,70.870004,70.880001,4418700,48.698583,-2.112970496631536
CMG,678.400024,679.919983,664.200012,667.690002,374400,667.690002,-1.5787178097151688
DRI,58.279999,58.52,57.790001,57.990002,935300,54.212799,-0.4975926646807246
PNRA,171.880005,173.839996,171.880005,172.259995,350200,172.259995,0.22107865309870817
ARMK,30.120001,30.940001,29.639999,29.84,3819900,29.262943,-0.9296181630272808
TJX,67.440002,67.940002,67.029999,67.199997,3177100,65.786656,-0.35587928956468695
ROST,93.739998,94.239998,93.010002,93.660004,3050400,46.068804,-0.08533603766451886
HD,102.779999,102.779999,100.790001,101.260002,5878100,97.709828,-1.4788840385180424
LOW,67.190002,67.379997,65.889999,66.080002,7335600,64.030217,-1.6520315031394308
BBY,38.549999,38.709999,37.73,37.790001,4853600,34.984062,-1.9714604921260908
GME,33.52,34.880001,33.330002,34.720001,4934900,32.249501,3.5799552505966594
WMT,85.720001,86.32,85.510002,85.650002,6979000,81.560914,-0.08166005504362477
COST,141.690002,142.160004,139.800003,140.00,1748500,132.57841,-1.1927461190945519
MO,48.639999,48.990002,48.52,48.689999,6900200,45.478076,0.10279605474497883
RAI,63.790001,63.790001,62.700001,63.200001,3323400,29.742819,-0.9249098459804012
KO,42.689999,42.970001,42.080002,42.139999,26292600,39.833451,-1.288357959436816
BUD,109.040001,109.709999,107.769997,108.089996,2010600,102.798461,-0.8712444894420026
TAP,73.389999,74.220001,73.279999,73.410004,1288400,70.945871,0.02725848245344384
PEP,94.449997,95.050003,93.720001,93.730003,6441000,89.125622,-0.7623017711689285
MNST,108.169998,109.800003,108.139999,109.43,1085800,109.43,1.1648350035099382
PG,90.230003,91.00,89.849998,90.010002,8626100,84.384704,-0.24382244562265654
CL,68.940002,69.43,68.449997,68.529999,2950700,65.556271,-0.5947243807738839
KMB,115.900002,116.580002,114.75,114.889999,1605200,108.937539,-0.871443470725736
CLX,103.809998,104.900002,103.199997,103.889999,1307400,98.655917,0.07706483146258224
GIS,52.27,52.689999,52.060001,52.150002,4149500,49.09098,-0.22957336904534625
K,65.239998,65.370003,64.139999,64.260002,1360200,61.143679,-1.5021398375885908
HSY,103.150002,104.00,102.50,102.980003,857800,98.71442,-0.16480755860771018
CBS,54.509998,54.68,54.00,54.259998,4762800,53.149993,-0.4586314605992097
SNI,75.449997,75.449997,73.889999,74.230003,1212400,72.23684,-1.616956989408495
TGNA,30.33,30.360001,29.77,30.120001,2187800,28.91406,-0.6923804813715788
DISCA,34.349998,34.41,32.939999,33.060001,1941300,33.060001,-3.755450000317321
NERO,7.90,7.90,7.90,7.90,000,7.90,0.0
OMC,75.809998,76.029999,74.300003,74.57,1627600,71.168923,-1.6356655226399028
GM,34.98,35.25,34.07,34.330002,16223000,31.747669,-1.8581989708404707
F,15.12,15.13,14.69,14.76,44079700,13.258876,-2.3809523809523774
HOG,65.089996,65.199997,64.190002,64.50,1515900,61.567777,-0.9064311511096104
SWHC,9.43,9.51,9.31,9.43,946800,9.43,0.0
CAB,52.349998,52.599998,51.849998,52.32,795800,52.32,-0.05730277200774503
RGR,34.869999,35.23,34.259998,35.009998,322400,33.668016,0.4014883969454748
TASR,26.15,26.40,25.459999,25.690001,2443600,25.690001,-1.7590783938814525
JPM,62.060001,62.279999,60.23,60.549999,20100600,57.632149,-2.4331324132592265
WFC,54.139999,54.360001,53.099998,53.200001,15000500,50.186453,-1.7362357173298113
BAC,17.790001,17.809999,17.290001,17.379999,105605500,16.968348,-2.304676655161507
C,53.91,53.959999,52.330002,52.549999,20945400,51.916231,-2.5227249118901818
USB,44.549999,44.77,43.689999,43.75,6568700,41.91086,-1.795732924707809
GS,193.059998,194.039993,187.479996,188.339996,3413200,183.609554,-2.444836863615835
MS,38.459999,38.59,37.169998,37.50,12507900,36.042599,-2.4960973087908904
AMTD,35.34,35.400002,34.560001,34.68,2408600,33.489595,-1.8675721561969543
MMC,56.700001,56.990002,56.43,56.57,2526400,54.212113,-0.22927865556827773
AON,93.879997,94.309998,93.029999,93.419998,1107600,91.146453,-0.4899861681929924
MET,53.419998,53.630001,51.880001,52.110001,6520200,48.86531,-2.45225954519879
PRU,89.699997,89.699997,86.730003,87.25,2665400,82.349091,-2.7313233912371215
AFL,60.439999,60.549999,59.240002,59.48,2378500,56.931663,-1.5883504564584845
CB,114.709999,114.709999,112.260002,112.57,1532300,111.937369,-1.86557320081574
ALL,69.68,69.779999,68.639999,68.730003,2898800,66.457502,-1.363371125143528
PGR,26.860001,26.91,26.629999,26.74,3425600,25.293358,-0.4467646892492745
AIG,55.68,55.869999,54.73,55.00,10103500,53.329611,-1.2212643678160915
NEM,19.51,19.60,18.860001,19.459999,7508100,19.319688,-0.25628395694516526
NUE,48.509998,48.549999,46.970001,47.139999,2794900,44.452998,-2.824158022022594
AVY,51.41,51.549999,50.799999,51.150002,801700,49.10425,-0.505734292939109
IP,52.75,53.02,52.16,52.400002,4069400,49.024947,-0.6635033175355438
NKE,94.510002,94.550003,93.129997,93.50,6889200,45.877115,-1.0686720755756625
UA,65.879997,66.080002,64.790001,65.300003,7147600,32.650002,-0.8803795179286349
NFLX,344.810001,344.810001,330.03001,331.179996,18165000,47.311428,-3.9529030365914424
T,33.869999,33.919998,33.52,33.549999,30429100,30.195798,-0.9447889266250061
ED,66.239998,66.459999,65.360001,65.709999,2465000,61.406659,-0.8001192874432208
FE,39.00,39.07,38.009998,38.150002,3065900,35.052292,-2.17948205128205
GE,25.01,25.01,24.52,24.60,42033200,23.230574,-1.6393442622950825
AWK,53.970001,54.099998,52.900002,53.110001,707700,51.06007,-1.593477828544058
UNP,118.309998,118.309998,114.470001,114.599998,4602500,109.852462,-3.1358296532132424
UPS,109.989998,109.989998,107.959999,108.169998,3519600,102.761787,-1.654695911531877
